Season,Player,Position,Nationality,Team
1983,Bobby Jones,Power forward, United States,Philadelphia 76ers
1984,Kevin McHale,Power forward, United States,Boston Celtics
1985,Kevin McHale,Power forward, United States,Boston Celtics 
1986,Bill Walton,Center, United States,Boston Celtics 
1987,Ricky Pierce,Shooting guard, United States,Milwaukee Bucks
1988,Roy Tarpley,Power forward, United States,Dallas Mavericks
1989,Eddie Johnson,Small forward, United States,Phoenix Suns
1990,Ricky Pierce ,Shooting guard, United States,Milwaukee Bucks 
1991,Detlef Schrempf,Power forward, Germany,Indiana Pacers
1992,Detlef Schrempf,Power forward, Germany,Indiana Pacers 
1993,Clifford Robinson,Power forward, United States,Portland Trail Blazers
1994,Dell Curry,Shooting guard, United States,Charlotte Hornets
1995,Anthony Mason,Power forward, United States,New York Knicks
1996,Toni Kukoc,Small forward, Croatia,Chicago Bulls
1997,John Starks,Shooting guard, United States,New York Knicks 
1998,Danny Manning,Power forward, United States,Phoenix Suns 
1999,Darrell Armstrong,Point guard, United States,Orlando Magic
2000,Rodney Rogers,Power forward, United States,Phoenix Suns 
2001,Aaron McKie,Shooting guard, United States,Philadelphia 76ers 
2002,Corliss Williamson,Small forward, United States,Detroit Pistons
2003,Bobby Jackson,Point guard, United States,Sacramento Kings
2004,Antawn Jamison,Small forward, United States,Dallas Mavericks 
2005,Ben Gordon,Shooting guard, United States,Chicago Bulls 
2006,Mike Miller,Shooting guard, United States,Memphis Grizzlies
2007,Leandro Barbosa,Shooting guard, Brazil,Phoenix Suns 
2008,Manu Ginobili,Shooting guard, Argentina,San Antonio Spurs
2009,Jason Terry,Shooting guard, United States,Dallas Mavericks 
2010,Jamal Crawford,Shooting guard, United States,Atlanta Hawks
2011,Lamar Odom,Power forward, United States,Los Angeles Lakers
2012,James Harden,Shooting guard, United States,Oklahoma City Thunder
2013,J. R. Smith,Shooting guard, United States,New York Knicks 
2014,Jamal Crawford,Shooting guard, United States,Los Angeles Clippers
2015,Lou Williams,Shooting guard, United States,Toronto Raptors
2016,Jamal Crawford,Shooting guard, United States,Los Angeles Clippers 
2017,Eric Gordon,Shooting guard, United States,Houston Rockets
2018,Lou Williams,Shooting guard, United States,Los Angeles Clippers 
2019,Lou Williams,Shooting guard, United States,Los Angeles Clippers 
2020,Montrezl Harrell,Center, United States,Los Angeles Clippers 
2021,Jordan Clarkson,Shooting guard, Philippines,Utah Jazz
2022,Tyler Herro,Shooting guard, United States,Miami Heat
2023,Malcolm Brogdon,Shooting guard, United States,Boston Celtics 
